run,sex,dose,cage,individual_moth,survival_time,status
2,m,171,1,10,14,Completed
2,m,171,2,1,1,Completed
2,m,171,2,2,5,Completed
2,m,171,2,3,6,Completed
2,m,171,2,4,6,Completed
2,m,171,2,5,6,Completed
2,m,171,2,6,9,Completed
2,m,171,2,7,10,Completed
2,m,171,2,8,13,Completed
2,m,171,2,9,14,Censored
2,m,171,2,10,14,Censored
2,m,171,3,1,2,Completed
2,m,171,3,2,5,Completed
2,m,171,3,3,6,Completed
2,m,171,3,4,7,Completed
2,m,171,3,5,9,Completed
2,m,171,3,6,10,Completed
2,m,171,3,7,11,Completed
2,m,171,3,8,11,Completed
2,m,171,3,9,14,Censored
2,m,171,3,10,14,Censored
2,m,206,1,1,5,Completed
2,m,206,1,2,7,Completed
2,m,206,1,3,8,Completed
2,m,206,1,4,8,Completed
2,m,206,1,5,9,Completed
2,m,206,1,6,10,Completed
2,m,206,1,7,14,Completed
2,m,206,1,8,14,Censored
2,m,206,1,9,14,Censored
2,m,206,1,10,14,Censored
2,m,206,2,1,4,Completed
2,m,206,2,2,7,Completed
2,m,206,2,3,8,Completed
2,m,206,2,4,9,Completed
2,m,206,2,5,12,Completed
2,m,206,2,6,13,Completed
2,m,206,2,7,14,Completed
2,m,206,2,8,14,Censored
2,m,206,2,9,14,Censored
2,m,206,2,10,14,Censored
2,m,206,3,1,7,Completed
2,m,206,3,2,8,Completed
2,m,206,3,3,10,Completed
2,m,206,3,4,10,Completed
2,m,206,3,5,14,Completed
2,m,206,3,6,14,Censored
2,m,206,3,7,14,Censored
2,m,206,3,8,14,Censored
2,m,206,3,9,14,Censored
2,m,206,3,10,14,Censored
2,m,324,1,1,12,Completed
2,m,324,1,2,13,Completed
2,m,324,1,3,13,Completed
2,m,324,1,4,14,Censored
2,m,324,1,5,14,Censored
2,m,324,1,6,14,Censored
2,m,324,1,7,14,Censored
2,m,324,1,8,14,Censored
2,m,324,1,9,14,Censored
2,m,324,1,10,14,Censored
2,m,324,2,1,9,Completed
2,m,324,2,2,9,Completed
2,m,324,2,3,11,Completed
2,m,324,2,4,14,Censored
2,m,324,2,5,14,Censored
2,m,324,2,6,14,Censored
2,m,324,2,7,14,Censored
2,m,324,2,8,14,Censored
2,m,324,2,9,14,Censored
2,m,324,2,10,14,Censored
2,m,324,3,1,1,Completed
2,m,324,3,2,6,Completed
2,m,324,3,3,8,Completed
2,m,324,3,4,9,Completed
2,m,324,3,5,10,Completed
2,m,324,3,6,12,Completed
2,m,324,3,7,12,Completed
2,m,324,3,8,14,Censored
2,m,324,3,9,14,Censored
2,m,324,3,10,14,Censored
2,m,521,1,1,2,Completed
2,m,521,1,2,3,Completed
2,m,521,1,3,6,Completed
2,m,521,1,4,6,Completed
2,m,521,1,5,7,Completed
2,m,521,1,6,9,Completed
2,m,521,1,7,10,Completed
2,m,521,1,8,11,Completed
2,m,521,1,9,13,Completed
2,m,521,1,10,14,Censored
2,m,521,2,1,2,Completed
2,m,521,2,2,2,Completed
2,m,521,2,3,4,Completed
2,m,521,2,4,5,Completed
2,m,521,2,5,7,Completed
2,m,521,2,6,7,Completed
2,m,521,2,7,7,Completed
2,m,521,2,8,9,Completed
2,m,521,2,9,14,Censored
2,m,521,2,10,14,Censored
2,m,521,3,1,1,Completed
2,m,521,3,2,6,Completed
2,m,521,3,3,6,Completed
2,m,521,3,4,7,Completed
2,m,521,3,5,7,Completed
2,m,521,3,6,10,Completed
2,m,521,3,7,11,Completed
2,m,521,3,8,11,Completed
2,m,521,3,9,14,Censored
2,m,521,3,10,14,Censored
2,m,-1,1,1,7,Completed
2,m,-1,1,2,7,Completed
2,m,-1,1,3,8,Completed
2,m,-1,1,4,10,Completed
2,m,-1,1,5,11,Completed
2,m,-1,1,6,13,Completed
2,m,-1,1,7,14,Censored
2,m,-1,1,8,14,Censored
2,m,-1,1,9,14,Censored
2,m,-1,1,10,14,Censored
2,m,-1,2,1,3,Completed
2,m,-1,2,2,5,Completed
2,m,-1,2,3,9,Completed
2,m,-1,2,4,10,Completed
2,m,-1,2,5,10,Completed
2,m,-1,2,6,10,Completed
2,m,-1,2,7,11,Completed
2,m,-1,2,8,12,Completed
2,m,-1,2,9,12,Completed
2,m,-1,2,10,14,Censored
2,m,-1,3,1,6,Completed
2,m,-1,3,2,8,Completed
2,m,-1,3,3,8,Completed
2,m,-1,3,4,9,Completed
2,m,-1,3,5,9,Completed
2,m,-1,3,6,12,Completed
2,m,-1,3,7,13,Completed
2,m,-1,3,8,14,Censored
2,m,-1,3,9,14,Censored
2,m,-1,3,10,14,Censored
2,f,3,1,1,1,Completed
2,f,3,1,2,3,Completed
2,f,3,1,3,5,Completed
2,f,3,1,4,7,Completed
2,f,3,1,5,7,Completed
2,f,3,1,6,9,Completed
2,f,3,1,7,10,Completed
2,f,3,1,8,13,Completed
2,f,3,1,9,14,Censored
2,f,3,1,10,14,Censored
2,f,3,2,1,6,Completed
2,f,3,2,2,7,Completed
2,f,3,2,3,8,Completed
2,f,3,2,4,10,Completed
2,f,3,2,5,11,Completed
2,f,3,2,6,11,Completed
2,f,3,2,7,11,Completed
2,f,3,2,8,11,Completed
2,f,3,2,9,14,Censored
2,f,3,2,10,14,Censored
2,f,3,3,1,1,Completed
2,f,3,3,2,2,Completed
2,f,3,3,3,5,Completed
2,f,3,3,4,8,Completed
2,f,3,3,5,13,Completed
2,f,3,3,6,14,Censored
2,f,3,3,7,14,Censored
2,f,3,3,8,14,Censored
2,f,3,3,9,14,Censored
2,f,3,3,10,14,Censored
2,f,171,1,1,2,Completed
2,f,171,1,2,3,Completed
2,f,171,1,3,5,Completed
2,f,171,1,4,12,Completed
2,f,171,1,5,14,Censored
2,f,171,1,6,14,Censored
2,f,171,1,7,14,Censored
2,f,171,1,8,14,Censored
2,f,171,1,9,14,Censored
2,f,171,1,10,14,Censored
2,f,171,2,1,4,Completed
2,f,171,2,2,6,Completed
2,f,171,2,3,7,Completed
2,f,171,2,4,7,Completed
2,f,171,2,5,14,Completed
2,f,171,2,6,14,Completed
2,f,171,2,7,14,Completed
2,f,171,2,8,14,Completed
2,f,171,2,9,14,Censored
2,f,171,2,10,14,Censored
2,f,171,3,1,8,Completed
2,f,171,3,2,10,Completed
2,f,171,3,3,11,Completed
2,f,171,3,4,13,Completed
2,f,171,3,5,13,Completed
2,f,171,3,6,14,Censored
2,f,171,3,7,14,Censored
2,f,171,3,8,14,Censored
2,f,171,3,9,14,Censored
2,f,171,3,10,14,Censored
2,f,206,1,1,3,Completed
2,f,206,1,2,7,Completed
2,f,206,1,3,8,Completed
2,f,206,1,4,9,Completed
2,f,206,1,5,10,Completed
2,f,206,1,6,10,Completed
2,f,206,1,7,12,Completed
2,f,206,1,8,14,Censored
2,f,206,1,9,14,Censored
2,f,206,1,10,14,Censored
2,f,206,2,1,1,Completed
2,f,206,2,2,8,Completed
2,f,206,2,3,11,Completed
2,f,206,2,4,14,Completed
2,f,206,2,5,14,Completed
2,f,206,2,6,14,Censored
2,f,206,2,7,14,Censored
2,f,206,2,8,14,Censored
2,f,206,2,9,14,Censored
2,f,206,2,10,14,Censored
2,f,206,3,1,12,Completed
2,f,206,3,2,12,Completed
2,f,206,3,3,14,Censored
2,f,206,3,4,14,Censored
2,f,206,3,5,14,Censored
2,f,206,3,6,14,Censored
2,f,206,3,7,14,Censored
2,f,206,3,8,14,Censored
2,f,206,3,9,14,Censored
2,f,206,3,10,14,Censored
2,f,324,1,1,3,Completed
2,f,324,1,2,8,Completed
2,f,324,1,3,9,Completed
2,f,324,1,4,10,Completed
2,f,324,1,5,13,Completed
2,f,324,1,6,13,Completed
2,f,324,1,7,14,Completed
2,f,324,1,8,14,Censored
2,f,324,1,9,14,Censored
2,f,324,1,10,14,Censored
2,f,324,2,1,1,Completed
2,f,324,2,2,3,Completed
2,f,324,2,3,6,Completed
2,f,324,2,4,7,Completed
2,f,324,2,5,9,Completed
2,f,324,2,6,10,Completed
2,f,324,2,7,12,Completed
2,f,324,2,8,14,Censored
2,f,324,2,9,14,Censored
2,f,324,2,10,14,Censored
2,f,324,3,1,1,Completed
2,f,324,3,2,1,Completed
2,f,324,3,3,7,Completed
2,f,324,3,4,8,Completed
2,f,324,3,5,8,Completed
2,f,324,3,6,8,Completed
2,f,324,3,7,8,Completed
2,f,324,3,8,12,Completed
2,f,324,3,9,13,Completed
2,f,324,3,10,13,Completed
2,f,521,1,1,2,Completed
2,f,521,1,2,3,Completed
2,f,521,1,3,5,Completed
2,f,521,1,4,6,Completed
2,f,521,1,5,7,Completed
2,f,521,1,6,9,Completed
2,f,521,1,7,10,Completed
2,f,521,1,8,14,Completed
2,f,521,1,9,14,Completed
2,f,521,1,10,14,Censored
2,f,521,2,1,1,Completed
2,f,521,2,2,1,Completed
2,f,521,2,3,9,Completed
2,f,521,2,4,9,Completed
2,f,521,2,5,10,Completed
2,f,521,2,6,11,Completed
2,f,521,2,7,12,Completed
2,f,521,2,8,13,Completed
2,f,521,2,9,14,Censored
2,f,521,2,10,14,Censored
2,f,521,3,1,1,Completed
2,f,521,3,2,4,Completed
2,f,521,3,3,4,Completed
2,f,521,3,4,6,Completed
2,f,521,3,5,6,Completed
2,f,521,3,6,7,Completed
2,f,521,3,7,7,Completed
2,f,521,3,8,9,Completed
2,f,521,3,9,10,Completed
2,f,521,3,10,14,Censored
2,f,-1,1,1,2,Completed
2,f,-1,1,2,4,Completed
2,f,-1,1,3,5,Completed
2,f,-1,1,4,5,Completed
2,f,-1,1,5,7,Completed
2,f,-1,1,6,7,Completed
2,f,-1,1,7,7,Completed
2,f,-1,1,8,7,Completed
2,f,-1,1,9,14,Censored
2,f,-1,1,10,14,Censored
2,f,-1,2,1,9,Completed
2,f,-1,2,2,11,Completed
2,f,-1,2,3,13,Completed
2,f,-1,2,4,14,Censored
2,f,-1,2,5,14,Censored
2,f,-1,2,6,14,Censored
2,f,-1,2,7,14,Censored
2,f,-1,2,8,14,Censored
2,f,-1,2,9,14,Censored
2,f,-1,2,10,14,Censored
2,f,-1,3,1,11,Completed
2,f,-1,3,2,13,Completed
2,f,-1,3,3,14,Completed
2,f,-1,3,4,14,Censored
2,f,-1,3,5,14,Censored
2,f,-1,3,6,14,Censored
2,f,-1,3,7,14,Censored
2,f,-1,3,8,14,Censored
2,f,-1,3,9,14,Censored
2,f,-1,3,10,14,Censored
